budget,gross
9000000,162
1500000,703
1000000,721
1000000,828
200000,1111
500000,1332
1500000,1521
1500000,1711
560000,2245
2000000,2436
300000,2468
1650000,2580
1650000,2843
1650000,2874
16000000,2964
2100000,3330
1500000,3478
10000000,3607
1200000,3830
4000000,4063
34000000,4091
34000000,4556
9000,4584
25000000,4756
150000,4914
2000000,4958
3000000,5005
200000,5199
100000000,5494
10000000,5561
8400000,5725
100000000,5824
150000,5858
695393,6013
1000000,6387
900000,6643
2000000,7680
1200000,7826
2300000,7927
4000000,8060
27000,8231
4500000,8691
94000000,9213
100000000,9609
25000000,9910
100000000,9950
1000000,10018
100000000,10230
100000000,10443
700000,10508
6800000,10696
1300000,11278
100000,11798
10000000,11835
500000,12055
160000,12438
19000000,12561
14000,12667
4000000,12836
6000000,12843
1000000,12996
500000,13134
100000000,13220
600000,13493
11400000,13751
12000000,14616
3800000,14873
100000000,15059
825000,15278
10000000,15447
100000000,15542
21000000,15593
5000000,16066
300000,16892
20000000,17149
100000000,17311
1500000,17580
250000,18195
900000,18378
100000000,18434
1400000,18435
650000,18469
10000000,19348
1000000,19539
3800000,19959
930000,20186
6000000,20200
24000000,20218
4000000,20262
15000000,20380
500000,21199
1000000,21210
3000000,22000
100000000,22434
60000000,22451
25000000,22723
5500000,22770
500000,23000
15000000,23091
50000000,23106
600000,23616
100000000,23807
7000000,23838
13000000,23947
100000000,24705
1200000,24784
100000000,25918
500000,26297
3000000,26345
6000000,26435
92000000,26871
1600000,26893
100000000,27012
5600000,27024
9000000,27445
15000000,28870
3500000,29233
70000,30084
12620000,31662
500000,31937
100000000,32631
500000,32645
100000000,33598
450000,34151
600000,35688
6000000,36497
1400000,36830
5000000,37440
3500000,37606
2600000,38108
1600000,39659
3000000,39852
300000,40542
60000,40557
25500000,41229
800000,41709
24000000,42880
18000000,45250
100000000,45661
7000000,46451
14000000,46495
100000000,47111
750000,47329
500000,48430
11900000,48856
1500000,49000
35000000,49413
250000,49494
6800000,49526
100000000,50000
2000000,52166
500000,52850
8000000,52961
8000000,53481
6000000,54606
100000000,54734
100000000,55202
5500000,56007
1100000,56129
25000000,56692
100000000,58163
9500000,58214
1200000,58936
200000,59379
100000000,59774
1000000,62480
14000000,63260
6500000,64148
